Date,Close/Last,Volume,Open,High,Low
08/18/2023,$16.72,5445569,$16.71,$16.755,$16.595
08/17/2023,$16.97,6166559,$17.17,$17.17,$16.95
08/16/2023,$17.13,8749006,$17.21,$17.31,$17.07
08/15/2023,$17.13,13343910,$16.77,$17.18,$16.77
08/14/2023,$16.86,5407151,$16.80,$16.95,$16.74
08/11/2023,$16.68,6831091,$16.61,$16.70,$16.56
08/10/2023,$16.87,9033311,$16.78,$17.00,$16.78
08/09/2023,$16.71,7998128,$16.81,$16.85,$16.63
08/08/2023,$16.77,6330679,$16.70,$16.77,$16.58
08/07/2023,$16.78,5533827,$16.88,$16.89,$16.71
08/04/2023,$16.71,7013017,$16.68,$16.8799,$16.635
08/03/2023,$16.51,10134360,$16.52,$16.56,$16.44
08/02/2023,$16.52,11896530,$16.54,$16.60,$16.435
08/01/2023,$16.80,7462327,$16.72,$16.84,$16.65
07/31/2023,$16.66,6604532,$16.62,$16.745,$16.60
07/28/2023,$16.46,9072377,$16.36,$16.48,$16.19
07/27/2023,$16.63,11839860,$16.64,$16.78,$16.615
07/26/2023,$16.62,10006210,$16.40,$16.665,$16.395
07/25/2023,$16.38,7718101,$16.23,$16.44,$16.23
07/24/2023,$16.22,10331520,$16.30,$16.34,$16.17
07/21/2023,$16.30,15268170,$16.19,$16.47,$16.09
07/20/2023,$16.22,39518030,$16.00,$16.22,$15.3301
07/19/2023,$17.71,21117740,$17.81,$17.95,$17.64
07/18/2023,$17.88,25346090,$17.80,$18.14,$17.76
07/17/2023,$17.29,12658390,$17.05,$17.31,$17.03
07/14/2023,$17.04,11539710,$17.16,$17.205,$16.99
07/13/2023,$16.79,13295270,$16.58,$16.85,$16.575
07/12/2023,$16.07,7102574,$16.26,$16.29,$16.03
07/11/2023,$16.24,7631527,$16.26,$16.28,$16.15
07/10/2023,$16.01,6774963,$16.04,$16.07,$15.98
07/07/2023,$16.05,5208601,$16.00,$16.18,$16.00
07/06/2023,$16.07,6464891,$16.14,$16.18,$16.00
07/05/2023,$16.26,13415920,$16.15,$16.37,$16.13
07/03/2023,$16.14,7111750,$16.19,$16.30,$16.05
06/30/2023,$16.07,12763870,$16.17,$16.255,$16.02
06/29/2023,$15.90,7992964,$15.78,$15.92,$15.69
06/28/2023,$15.75,7520349,$15.68,$15.77,$15.55
06/27/2023,$15.62,7913597,$15.605,$15.64,$15.46
06/26/2023,$15.50,8509187,$15.31,$15.54,$15.30
06/23/2023,$15.20,8482720,$15.24,$15.27,$15.15
06/22/2023,$15.47,11712930,$15.21,$15.51,$15.175
06/21/2023,$15.39,15032030,$15.36,$15.44,$15.115
06/20/2023,$15.64,7622139,$15.81,$15.84,$15.57
06/16/2023,$15.83,18245830,$15.74,$15.86,$15.64
